,,,,,,,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Dell Precision 5530 - 32GB RAM - Intel i7-8850U - 512GB SSD (See Notes),,,$0.99,US,,Used,https://www.ebay.com/itm/266307696950?hash=item3e012cf936%3Ag%3AbyYAAOSwndhkk3B7&amdata=enc%3AAQAIAAAA4OzamETxhvEdlmK78nPJiK0oJ9FI20yfY0SFIOB5J9Wri8ha0GTCSS1Dp6nL%2FHEo5syGRuAi84Ofkehf83ke%2BdlevANsG6xW7cHq3GykZEQYdO24%2FZlfW%2Bv4iBhiYWlgc8Lvg5cafOgtptjlrOrjz6uHi4GOwbQbUUqNgy90r5MaUYs3lCEJH9bdP3pvrb7qt3yftnEUXkjSjm7PtsOcYnvJWSjOyNvvjsrpmH4CBnEE1fwS7x%2Bhr7P7LUKQrCvXBjC0%2FCDEdnziySOX%2B5D4iRccF5fwetu1%2BG09clMqrXSH%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"Samsung Galaxy Book S Snapdragon 8cx 2.84GHz 8GB RAM 256GB SSD 13.3"" FHD LTE W11",$350.00,US,$200.00,US,,Used,https://www.ebay.com/itm/235060084763?hash=item36baac401b%3Ag%3A-vcAAOSwa9Zkk26v&amdata=enc%3AAQAIAAAA4J6CtI4ObEBRfyhHJZD7V435SWekMJO3WxxFV%2BeiR%2F2sionRP1lZjJZ4R5xHkrpe5UJbexs%2FvQF4JOmZ3Ly%2Bqh5HzY%2F1HoG3tfOwFjhZmv2sHioDGI0b7DCLgdoUpW7FPScPlA9lhUKpQGlP0%2B%2BBoKUZLV%2FyUbP5B2mV74z3S13bP0AgRSLRNgpREZOENr62bk8lQ8rqYgBF0cPRKo3MrO7HqL3PD%2Bpxh9qdmV50yTGYjixJRDgnjaOPcguCgjX1nSF9Xj3uCZprUUaBNLqZ6ZbfaTfV9z%2BQmO76I%2FyUyxT9%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"Lenovo Thinkpad T490 14"" (256 SSD, Intel Core i5 8th Gen., 1.60 GHz, 8 GB Ram",,,$133.00,US,,Used,https://www.ebay.com/itm/166186133223?hash=item26b17726e7%3Ag%3AeD0AAOSwOMZkk2r5&amdata=enc%3AAQAIAAAAwLQHHD7Q063RS1RnKY2fKJAXmS3Pp6Bqyn2FLKcYjrl7tIJOkQwwbs%2FX5oAbSU1SMV0e2d6%2FvuYVfkKJN%2FYJEr%2FfpkLWsh0fLErj20FTSfsXagdrMmgbDgRQTYKjvjIFJUilk65PXK1LlGVFuD7%2Br%2B9%2F6XqA5hpOZ%2BUt2mENDOxq0X%2BMEz2dHPp%2FlK94MwLwmDGZNCrUx4Ovk3ouItQbqkwaBk31KzjlAZWKGaKfeMhwDvRLojD68WFGKdyUYfDWaw%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"Razer Blade 14"" (1TB SSD, AMD Ryzen 9 6000 Series, 4.90 GHz, 16GB, GeForce...","$1,381.00",US,$905.00,US,,Used,https://www.ebay.com/itm/364315016596?epid=14053981781&hash=item54d2ddfd94%3Ag%3A%7EeMAAOSwUbJkk2xk&amdata=enc%3AAQAIAAAA4NaZFeXb18DWmNcFzy5mV1CvzodvMmcwO90vl4OaldUM%2BBQUbIosBDztQhNyE1qsuwvbeH7FebFDZ9Sxcg8XeanFBxAlmkDyC%2BJLzkHHWf0S3wjfPhk8C%2BSV4Qui8WfuMPA804wYbVzmBsgPrIEzusPbRGJbjAy7cFX6x9A15ufrG45%2B%2FncGp6CN9f6mpYebOfhShUtKtvuU%2BszgjGP1MzTFu%2FXG8pwOloVwfm%2Bcstxr8KHUfCoRpMda9JOoDtEVFP6G1fhJibjVJRBo1N7%2Fjq%2BGfg3sNnhF%2BKeoUaMiEkEJ%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"Lenovo ThinkPad T490 Laptop 14"" i7-8665U 1.90GHz 16GB 512GB SSD Win 11",$299.99,US,$199.99,US,,Used,https://www.ebay.com/itm/256117518335?hash=item3ba1cb2fff%3Ag%3A914AAOSwmsRkk2x4&amdata=enc%3AAQAIAAAAwKOBqAElwmwOx6IU23elVKwmcidCIvCQ0EO14wj60lIgv8AYwtT0JT1TXxpsCDzxJVgjnqdCx3xidWzSd3CCefvstg66iD7HhnwaYkqOcY8a4ieF0OU38Kb9SjACZI%2Fp9umBBb1fJQwuufr0w6O8RgaFw4HHm1JOLK2qXJi5EC0V8%2FqOuLfwqXJuWt%2BaBDPoScwTBS0r6zr6kgohKT1pz65OmKbPrenUYpjloKB%2F%2FtLEx%2FoYkR4EGROWxv3i%2BDxEPA%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
NEW Dell XPS 13 9365 2-in-1 Tablet Laptop Core i7 1080P Touchscreen 1TB SSD 16GB,,,$600.00,US,,Used,https://www.ebay.com/itm/185952981352?hash=item2b4ba95168%3Ag%3AioMAAOSwh81kk2t4&amdata=enc%3AAQAIAAAAwNX28i8khk3j8Nkkr9gjW4GPGnJp%2B8DFyvUA129CPckEUTQjlJXyKQVNK4mO5bmXnbujXKyp6bRVRHx%2FeUEMiKwNJAJCOuML0nhS0GiXolgx%2Fxt%2BU13PHL1iSC%2F4dZ4yissV1WiMUvQHBEirzxCHIg%2B15MF13l5W3j5ARN5jq7hP4j0%2B6hXJ23RJBMr%2F0XSzjcAEM8llGXzWSrMk1q%2BnrjS%2F0faxAVmX9mRhbu1gNVaQuTB9TMBhu5UidUaXBAVnxw%3D%3D%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"Lenovo ThinkPad T460s 14"" (256GB SSD, Intel Core i7-6600U, 2.60Ghz, 8GB) Laptop",,,$50.00,US,,Used,https://www.ebay.com/itm/125985397748?epid=27021293006&hash=item1d55509bf4%3Ag%3AoMsAAOSwkWFkGPIK&amdata=enc%3AAQAIAAAA4OMaW2hRi1JIyUP%2Fng5DdLTlzjQgknx5SbzGax%2FMkOmNa8hfiW568EnxhKN8Nqqti2DixLfAZYWXR6tXNBszCnWL8l6MZgtzcs50KoK3nDIJqzyoSmMK8G7vc6LjO1kFasf0%2BdIHSJhgLhbY%2FL7HIGjeex1ssqAG6411S5dq8J1VOAfANhyLVsklkkc6CUrwqEVDoGNKbMAXvMPsWIfmUJkxEZR9yH%2BvWWWoC6WmNKkss3hI41FdwxxyMhgAIDsi%2Fv5wIHkeiHXH3z8Yk95UpPAbcAZ2aN4ypL1HBbGUlupn%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"Samsung NP940X5N  15"" FHD i7-8550U@1.80 GHZ 16GB RAM 250GB M.2 SSD  28431WK",,,$60.00,US,,Used,https://www.ebay.com/itm/394694351136?hash=item5be59dd920%3Ag%3AOPQAAOSw7MVkk2su&amdata=enc%3AAQAIAAAA4OWEiKbv%2FK1tgNfWphhSbenSqdw47SpnNRFyXVy19YOCDGalGA5gZa4svNFIAr%2FbvgxCR9fhxahMZXnS0nu71qvdPK2RodVjckHw%2FP0XrcYXAIQppRCogUwYdmnZfkWMZciq1x%2BqD72IGvwt%2BrSu8eX2MfjcP5tIOu%2B9boyv0nJXG63pxhanE9fUoSlC%2FnIeRfWU%2BYB7Lyh4tO6PjPxUUXU%2FFw1hSFgfdLlWQScgVSrhOHg7R3DnzOkyCCO0lk8Qj7WrYg2OwvHwLwvJmMxnrVLXadthZIF%2FBOuYeOo8oLhZ%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
"HP  LAPTOP 17.3 SCREEN ,",,,$350.00,US,,New,https://www.ebay.com/itm/166186117695?epid=22057510906&hash=item26b176ea3f%3Ag%3A0BQAAOSwUKFkk2lf&amdata=enc%3AAQAIAAAA4Pt40kUneIn5OQhKaLpwto6uOelXmLPU7dIYjVPZwf34j%2FNTY1SVG5I%2FVYVL2DN5uvRM8M1GRQVM%2BVjAc1RkSqk6fmeIQU9w4lXcUxnF6GANjf4As4K%2Bg4YuO7atbn%2B94rkoPK0bSVdbmv%2BrwPSzhzJQWh1%2FjSZlHdU%2FHDABY6fk7ZDrA%2FxElFaUUXZJq51CEoyF1yLzBwFdlGvRYxv2ufypjyirX8il6tn6x1DS2B1Xj3QSmk7ozvIvt6szjaUMZwLPw9kHe8edNm8WuNxKEEHE5WuB2ZInykFF%2Fy1rgyae%7Ctkp%3ABk9SR7qui4CcYg&LH_Auction=1
